,ExpNum,ID,CodeExclu,Answer,AverageExpertise_x,AvergeConfidence,Confidence,DelID,GuruID,ProbaDel,Unnamed: 0,Unnamed: 0.1,Weight,CodeQuestion,Proba,country,gender,gender_,unique_id,unique_id_q,AverageExpertise_y,IRTExpertise,Normalized_IRT,Normalized_IRT_1
59,E10,14,T,0.625,0.625,,,16.0,16.0,1.0,536.5,16.0,0.0,,0.4,tunisia-france,male,,E10_14,E10_14_T,0.625,0.3051213163569453,0.6665904881303897,3.331809762607792
60,E10,15,K,0.875,0.875,,,,15.0,0.0,81.5,17.0,1.0,,0.4,france,male,,E10_15,E10_15_K,0.875,1.0914576055481928,0.8787149707551506,7.57429941510301
61,E10,15,PC,1.0,1.0,,,,15.0,0.0,385.5,17.0,4.0,,0.4,france,male,,E10_15,E10_15_PC,1.0,1.2486381505313697,0.9211164753550802,8.422329507101605
62,E10,15,PE9,0.125,0.125,,,14.0,14.0,1.0,233.5,17.0,0.0,,0.6,france,male,,E10_15,E10_15_PE9,0.125,-0.9914969057382962,0.31681079043047095,-3.6637841913905813
63,E10,15,T,0.75,0.75,,,16.0,16.0,1.0,537.5,17.0,0.0,,1.0,france,male,,E10_15,E10_15_T,0.75,0.6775649192854597,0.7670620136902357,5.341240273804715
64,E10,16,K,0.75,0.75,,,,16.0,0.0,82.5,18.0,1.0,,0.6,germany,male,,E10_16,E10_16_K,0.75,0.6413063610243137,0.7572807941057041,5.1456158821140825
65,E10,16,PC,0.25,0.25,,,3.0,3.0,1.0,386.5,18.0,0.0,,0.8,germany,male,,E10_16,E10_16_PC,0.25,-0.49767922128583464,0.45002455948235176,-0.9995088103529657
66,E10,16,PE9,0.75,0.75,,,12.0,14.0,1.0,234.5,18.0,0.0,,0.8,germany,male,,E10_16,E10_16_PE9,0.75,0.7440932754255197,0.7850089065401138,5.700178130802277
67,E10,16,T,0.75,0.75,,,,16.0,0.0,538.5,18.0,3.0,,0.2,germany,male,,E10_16,E10_16_T,0.75,0.6711804120858161,0.7653397094990718,5.306794189981435
68,E10,17,K,0.75,0.75,,,,17.0,0.0,83.5,19.0,2.0,,0.4,colombia,male,,E10_17,E10_17_K,0.75,0.7871066501746512,0.796612326082138,5.9322465216427585
69,E10,17,PC,0.75,0.75,,,,17.0,0.0,387.5,19.0,2.0,,0.6,colombia,male,,E10_17,E10_17_PC,0.75,0.5997886923787736,0.7460808608172642,4.9216172163452825
70,E10,17,PE9,0.5,0.5,,,,17.0,0.0,235.5,19.0,3.0,,0.6,colombia,male,,E10_17,E10_17_PE9,0.5,0.140140414542008,0.6220847354117224,2.441694708234447
71,E10,17,T,0.5,0.5,,,,17.0,0.0,539.5,19.0,1.0,,0.6,colombia,male,,E10_17,E10_17_T,0.5,0.08265545390769863,0.6065774165954952,2.1315483319099044
72,E10,18,K,0.75,0.75,,,,18.0,0.0,84.5,20.0,1.0,,0.6,france,female,,E10_18,E10_18_K,0.75,0.7958335188673729,0.7989665128745113,5.979330257490226
73,E10,18,PC,0.875,0.875,,,,18.0,0.0,388.5,20.0,1.0,,0.6,france,female,,E10_18,E10_18_PC,0.875,0.9571650019640229,0.8424877872368585,6.849755744737166
74,E10,18,PE9,0.75,0.75,,,15.0,14.0,1.0,236.5,20.0,0.0,,0.8,france,female,,E10_18,E10_18_PE9,0.75,0.5342994041774467,0.7284142701128492,4.568285402256983
75,E10,18,T,0.5,0.5,,,1.0,1.0,1.0,540.5,20.0,0.0,,0.8,france,female,,E10_18,E10_18_T,0.5,0.13381639048834928,0.6203787473390256,2.407574946780512
76,E11,0,K,0.75,0.75,,,,0.0,0.0,94.5,2.0,11.0,,,france ,male,,E11_0,E11_0_K,0.75,0.7958335188673729,0.7989665128745113,5.979330257490226
